uuid,ndvi_peak_date,ndvi_peak_value,peak_position
00001a73-59d3-47a2-afc0-5d8daf4de3da,2020-04-11,0.7336859410430848,1
00001a73-59d3-47a2-afc0-5d8daf4de3da,2020-09-18,0.754274376417234,2
00001a73-59d3-47a2-afc0-5d8daf4de3da,2020-12-02,0.7542199546485274,3
00001a73-59d3-47a2-afc0-5d8daf4de3da,2021-05-26,0.7472471655328802,1
00001a73-59d3-47a2-afc0-5d8daf4de3da,2021-09-13,0.6673395691609988,2
00001a73-59d3-47a2-afc0-5d8daf4de3da,2022-05-16,0.6281337868480735,1
00001a73-59d3-47a2-afc0-5d8daf4de3da,2023-01-01,0.5583469387755112,1
00001a73-59d3-47a2-afc0-5d8daf4de3da,2023-11-27,0.6148934240362821,2
00001a73-59d3-47a2-afc0-5d8daf4de3da,2024-07-04,0.7666201814058955,1
00045c8e-edef-4a08-a8a5-1f3e89692c8c,2020-06-20,0.7144126984126998,1
00045c8e-edef-4a08-a8a5-1f3e89692c8c,2020-11-27,0.7178514739229036,2
00045c8e-edef-4a08-a8a5-1f3e89692c8c,2021-11-22,0.6786009070294794,1
00045c8e-edef-4a08-a8a5-1f3e89692c8c,2022-06-15,0.6823673469387767,1
00045c8e-edef-4a08-a8a5-1f3e89692c8c,2023-07-20,0.7312055933484511,1
00045c8e-edef-4a08-a8a5-1f3e89692c8c,2024-08-03,0.7253015873015886,1
0009c0be-0069-4027-adbe-51adb7593d23,2020-08-09,0.7466712018140594,1
0009c0be-0069-4027-adbe-51adb7593d23,2021-07-15,0.7479735449735443,1
0009c0be-0069-4027-adbe-51adb7593d23,2021-09-03,0.7571768707483002,2
0009c0be-0069-4027-adbe-51adb7593d23,2022-06-15,0.8136791383219961,1
0009c0be-0069-4027-adbe-51adb7593d23,2023-05-21,0.8283552532123964,1
0009c0be-0069-4027-adbe-51adb7593d23,2023-12-17,0.6992773998488291,2
0009c0be-0069-4027-adbe-51adb7593d23,2024-06-24,0.7482029478458058,1
00152163-1574-4332-8309-52ef4656b855,2020-07-15,0.8000234315948613,1
00152163-1574-4332-8309-52ef4656b855,2020-12-12,0.5906485260770985,2
00152163-1574-4332-8309-52ef4656b855,2021-07-15,0.8162872260015113,1
00152163-1574-4332-8309-52ef4656b855,2022-06-05,0.7729852607709767,1
00152163-1574-4332-8309-52ef4656b855,2023-05-21,0.7777165532879805,1
00152163-1574-4332-8309-52ef4656b855,2023-12-27,0.6509402872260024,2
00152163-1574-4332-8309-52ef4656b855,2024-05-30,0.7756228269085421,1
001e2c1f-95bd-42ed-a828-6fa8be68fdf8,2020-06-10,0.7857482993197288,1
001e2c1f-95bd-42ed-a828-6fa8be68fdf8,2020-10-13,0.6439712773998495,2
001e2c1f-95bd-42ed-a828-6fa8be68fdf8,2021-06-15,0.775532123960697,1
001e2c1f-95bd-42ed-a828-6fa8be68fdf8,2022-06-30,0.7787675736961466,1
001e2c1f-95bd-42ed-a828-6fa8be68fdf8,2023-08-09,0.7510946712018154,1
001e2c1f-95bd-42ed-a828-6fa8be68fdf8,2024-07-04,0.7564489795918385,1
00273b39-98d4-4726-9636-611cae648b96,2020-02-01,0.6715873015873035,1
00273b39-98d4-4726-9636-611cae648b96,2020-06-10,0.751908163265308,2
00273b39-98d4-4726-9636-611cae648b96,2021-09-03,0.6790136054421778,1
00273b39-98d4-4726-9636-611cae648b96,2022-06-20,0.7189897959183686,1
00273b39-98d4-4726-9636-611cae648b96,2023-05-21,0.7742139077853362,1
00273b39-98d4-4726-9636-611cae648b96,2023-11-27,0.676371882086169,2
00273b39-98d4-4726-9636-611cae648b96,2024-05-05,0.7328730158730181,1
00383aa4-6f94-45ec-a1a1-27824ddf3063,2020-07-05,0.7233809523809529,1
00383aa4-6f94-45ec-a1a1-27824ddf3063,2020-11-07,0.7019863945578243,2
00383aa4-6f94-45ec-a1a1-27824ddf3063,2021-07-15,0.7217335600907034,1
00383aa4-6f94-45ec-a1a1-27824ddf3063,2022-07-05,0.7237233560090717,1
00383aa4-6f94-45ec-a1a1-27824ddf3063,2023-08-04,0.7191483371126238,1
00383aa4-6f94-45ec-a1a1-27824ddf3063,2024-07-04,0.7099467120181417,1
003be886-e6bb-4533-b89e-ebb8be4e02cc,2020-06-25,0.8279291383219968,1
003be886-e6bb-4533-b89e-ebb8be4e02cc,2020-11-27,0.7065793650793665,2
003be886-e6bb-4533-b89e-ebb8be4e02cc,2021-06-15,0.7581757369614527,1
003be886-e6bb-4533-b89e-ebb8be4e02cc,2022-08-09,0.7699365079365075,1
003be886-e6bb-4533-b89e-ebb8be4e02cc,2023-07-05,0.8192199546485276,1
003be886-e6bb-4533-b89e-ebb8be4e02cc,2023-12-12,0.6267362055933494,2
003be886-e6bb-4533-b89e-ebb8be4e02cc,2024-08-23,0.7409274376417243,1
003f8d91-4a9e-459d-81e7-237a9b15cae2,2020-06-20,0.7054625850340149,1
