ndvi_peak_year,number_of_peaks_per_farm,uuid_count
2020,1,4858
2020,2,2563
2020,3,291
2020,4,9
2021,1,6269
2021,2,1487
2021,3,63
2021,4,5
2022,1,6363
2022,2,1397
2022,3,51
2023,1,4100
2023,2,3348
2023,3,337
2023,4,19
2024,1,5725
2024,2,1189
2024,3,108
2024,4,7
