uuid,year,ndvi_max,ndmi_max
00001a73-59d3-47a2-afc0-5d8daf4de3da,2020,0.754274376417234,0.28819841269841273
00001a73-59d3-47a2-afc0-5d8daf4de3da,2021,0.7472471655328802,0.3017732426303875
00001a73-59d3-47a2-afc0-5d8daf4de3da,2022,0.6281337868480735,0.16741043083900337
00001a73-59d3-47a2-afc0-5d8daf4de3da,2023,0.6148934240362821,0.1296950113378691
00001a73-59d3-47a2-afc0-5d8daf4de3da,2024,0.7666201814058955,0.36183900226757376
00045c8e-edef-4a08-a8a5-1f3e89692c8c,2020,0.7178514739229036,0.2617290249433117
00045c8e-edef-4a08-a8a5-1f3e89692c8c,2021,0.6786009070294794,0.1934603174603173
00045c8e-edef-4a08-a8a5-1f3e89692c8c,2022,0.6823673469387767,0.21888321995464904
00045c8e-edef-4a08-a8a5-1f3e89692c8c,2023,0.7312055933484511,0.2555616024187457
00045c8e-edef-4a08-a8a5-1f3e89692c8c,2024,0.7253015873015886,0.22877494331065756
0009c0be-0069-4027-adbe-51adb7593d23,2020,0.7466712018140594,0.28889795918367345
0009c0be-0069-4027-adbe-51adb7593d23,2021,0.7571768707483002,0.2983764172335597
0009c0be-0069-4027-adbe-51adb7593d23,2022,0.8136791383219961,0.35629931972789325
0009c0be-0069-4027-adbe-51adb7593d23,2023,0.8283552532123964,0.3543938019652314
0009c0be-0069-4027-adbe-51adb7593d23,2024,0.7482029478458058,0.2513764172335599
00152163-1574-4332-8309-52ef4656b855,2020,0.8000234315948613,0.37760657596372
00152163-1574-4332-8309-52ef4656b855,2021,0.8162872260015113,0.4176175359032509
00152163-1574-4332-8309-52ef4656b855,2022,0.7729852607709767,0.41003401360544306
00152163-1574-4332-8309-52ef4656b855,2023,0.7777165532879805,0.43098185941043277
00152163-1574-4332-8309-52ef4656b855,2024,0.7756228269085421,0.39937868480725736
001e2c1f-95bd-42ed-a828-6fa8be68fdf8,2020,0.7857482993197288,0.33834920634920673
001e2c1f-95bd-42ed-a828-6fa8be68fdf8,2021,0.775532123960697,0.343163265306123
001e2c1f-95bd-42ed-a828-6fa8be68fdf8,2022,0.7787675736961466,0.3147346938775513
001e2c1f-95bd-42ed-a828-6fa8be68fdf8,2023,0.7510946712018154,0.33923809523809606
001e2c1f-95bd-42ed-a828-6fa8be68fdf8,2024,0.7564489795918385,0.27476643990929694
00273b39-98d4-4726-9636-611cae648b96,2020,0.751908163265308,0.26837074829932034
00273b39-98d4-4726-9636-611cae648b96,2021,0.6790136054421778,0.2179183673469392
00273b39-98d4-4726-9636-611cae648b96,2022,0.7189897959183686,0.24388888888888974
00273b39-98d4-4726-9636-611cae648b96,2023,0.7742139077853362,0.2578185941043096
00273b39-98d4-4726-9636-611cae648b96,2024,0.7328730158730181,0.27251020408163384
