uuid,year,high_ndmi_days
04ff5921-3ea7-4608-bf54-2e2656d4e33c,2020,40
04ff5921-3ea7-4608-bf54-2e2656d4e33c,2021,30
04ff5921-3ea7-4608-bf54-2e2656d4e33c,2022,30
04ff5921-3ea7-4608-bf54-2e2656d4e33c,2023,45
051408f6-d9bc-416d-9fbc-1906b3fefb6e,2020,15
051408f6-d9bc-416d-9fbc-1906b3fefb6e,2022,5
051408f6-d9bc-416d-9fbc-1906b3fefb6e,2024,30
05158225-6c37-4098-98ef-39450d19dd95,2020,5
05401a03-2b13-48cd-84dd-e6cf81cff0ea,2020,10
05401a03-2b13-48cd-84dd-e6cf81cff0ea,2023,55
05401a03-2b13-48cd-84dd-e6cf81cff0ea,2024,0
056a21e2-baf6-4201-975f-c4681491a63d,2020,20
056a21e2-baf6-4201-975f-c4681491a63d,2023,0
056a21e2-baf6-4201-975f-c4681491a63d,2024,10
0576c024-c5c2-4335-aee0-04a22d36ae2b,2022,55
0576c024-c5c2-4335-aee0-04a22d36ae2b,2023,0
05a5dca2-083f-4988-8f9a-5ea1aad1f493,2023,45
05a5dca2-083f-4988-8f9a-5ea1aad1f493,2024,15
05e2d4a1-8283-43f8-8c2d-2b25d258ba46,2020,35
05e2d4a1-8283-43f8-8c2d-2b25d258ba46,2022,10
05e2d4a1-8283-43f8-8c2d-2b25d258ba46,2023,15
05e2d4a1-8283-43f8-8c2d-2b25d258ba46,2024,5
0630c89c-d6b5-452b-a66d-b85190e243f3,2020,10
0630c89c-d6b5-452b-a66d-b85190e243f3,2021,25
0630c89c-d6b5-452b-a66d-b85190e243f3,2023,40
0630c89c-d6b5-452b-a66d-b85190e243f3,2024,40
06a3841a-f878-4184-81fe-420aa019769a,2020,5
06a3841a-f878-4184-81fe-420aa019769a,2024,175
06c2c4b6-169d-4ee0-8407-24580806fa3f,2023,55
06cac26d-16af-4993-9217-8ad7a2925858,2022,40
06cac26d-16af-4993-9217-8ad7a2925858,2023,40
06fc8e21-cedd-4bf0-90bb-468660c636ea,2020,25
06fc8e21-cedd-4bf0-90bb-468660c636ea,2021,25
06fc8e21-cedd-4bf0-90bb-468660c636ea,2022,0
06fc8e21-cedd-4bf0-90bb-468660c636ea,2024,25
070a1bb6-6426-476d-9fe5-2d8ccaca8de1,2020,25
070a1bb6-6426-476d-9fe5-2d8ccaca8de1,2023,35
0728f965-bb20-4eb9-83b9-3d4c0488fd93,2020,15
0728f965-bb20-4eb9-83b9-3d4c0488fd93,2022,30
0728f965-bb20-4eb9-83b9-3d4c0488fd93,2023,50
07a45b6a-2288-4cce-a832-3aa88f424e37,2020,345
07a93e30-59b0-4d9b-b1e2-d0321c28497d,2020,0
07a93e30-59b0-4d9b-b1e2-d0321c28497d,2021,5
07a93e30-59b0-4d9b-b1e2-d0321c28497d,2022,20
07a93e30-59b0-4d9b-b1e2-d0321c28497d,2023,40
07a93e30-59b0-4d9b-b1e2-d0321c28497d,2024,5
07d13ccc-7f0a-4799-ba2e-dc044485be35,2023,5
07dc0dd2-d1f6-4f1e-9da0-249a4444d428,2024,0
07f83f26-0d36-47bd-9c8d-c608d146b2ac,2021,10
07f83f26-0d36-47bd-9c8d-c608d146b2ac,2023,40
0813ec1e-ed62-4d3c-88ae-72f3ca83d193,2020,15
0813ec1e-ed62-4d3c-88ae-72f3ca83d193,2021,10
0813ec1e-ed62-4d3c-88ae-72f3ca83d193,2022,45
0813ec1e-ed62-4d3c-88ae-72f3ca83d193,2023,45
0813ec1e-ed62-4d3c-88ae-72f3ca83d193,2024,25
081f27f7-7482-4522-b37c-50ee3cfdd274,2020,35
081f27f7-7482-4522-b37c-50ee3cfdd274,2022,45
081f27f7-7482-4522-b37c-50ee3cfdd274,2023,40
082351d8-fa97-4b5b-b8c1-de70ab99020a,2023,40
082351d8-fa97-4b5b-b8c1-de70ab99020a,2024,20
0879a214-ca68-41c6-86ec-d1e0daa19db3,2022,0
0897b77b-c7dd-4b28-a121-8ccf7916fad3,2020,15
0897b77b-c7dd-4b28-a121-8ccf7916fad3,2024,10
091c3ff1-4904-4311-9a80-4f3a7792381a,2023,10
091c3ff1-4904-4311-9a80-4f3a7792381a,2024,0
093aafea-2012-48f7-9c21-df2face93ba1,2020,10
093aafea-2012-48f7-9c21-df2face93ba1,2022,5
093aafea-2012-48f7-9c21-df2face93ba1,2023,0
0965df42-65ac-4f14-bf1c-4a2d3fa62427,2022,10
097a6439-4904-4ac4-922f-a8351603c386,2021,10
097a6439-4904-4ac4-922f-a8351603c386,2022,0
097a6439-4904-4ac4-922f-a8351603c386,2023,15
097a6439-4904-4ac4-922f-a8351603c386,2024,25
097c1311-4acd-46cc-8463-bc13b25cee09,2020,150
09a7c6bf-7fe5-4ff3-8fb2-78432946e3b8,2020,5
09a7c6bf-7fe5-4ff3-8fb2-78432946e3b8,2022,10
09a7c6bf-7fe5-4ff3-8fb2-78432946e3b8,2023,15
09a7c6bf-7fe5-4ff3-8fb2-78432946e3b8,2024,0
09c9c5a1-3c88-4ac0-9bae-5da9ffd56596,2023,0
09d0b658-a045-48dd-85a7-98c8fc887898,2022,20
09df573d-1f69-4807-82e6-2d809f5e9a7b,2020,35
09df573d-1f69-4807-82e6-2d809f5e9a7b,2023,25
09df573d-1f69-4807-82e6-2d809f5e9a7b,2024,15
09ef8cca-ca54-46cb-8378-ecdac5999f28,2020,25
09ef8cca-ca54-46cb-8378-ecdac5999f28,2021,35
09ef8cca-ca54-46cb-8378-ecdac5999f28,2023,60
09f4ee9b-4aa4-4171-b61d-210db24497f9,2023,5
0a2002d1-a2b6-44a0-b1ea-b7afa5c62ecf,2024,0
0a45f454-4eea-4fa3-8059-38bbb8838c5f,2020,20
