ndvi_peak_year,number_of_peaks_per_farm,uuid_count
2020,1,2742
2020,2,720
2020,3,68
2020,4,7
2021,1,2882
2021,2,2317
2021,3,402
2021,4,5
2022,1,2908
2022,2,627
2022,3,105
2022,4,10
2023,1,3069
2023,2,1832
2023,3,547
2023,4,12
2024,1,3125
2024,2,1961
2024,3,208
2024,4,5
