ndvi_peak_year,ndvi_peak_month,ndvi_peaks_per_month
2020,Jan,56
2020,Feb,396
2020,Mar,811
2020,Apr,294
2020,May,472
2020,Jun,143
2020,Juy,59
2020,Aug,148
2020,Sep,92
2020,Oct,109
2020,Nov,46
2020,Dec,1788
2021,Jan,1737
2021,Feb,1706
2021,Mar,538
2021,Apr,556
2021,May,342
2021,Jun,171
2021,Juy,99
2021,Aug,108
2021,Sep,36
2021,Oct,64
2021,Nov,53
2021,Dec,3332
2022,Jan,2635
2022,Feb,297
2022,Mar,133
2022,Apr,165
2022,May,166
2022,Jun,103
2022,Juy,113
2022,Aug,63
2022,Sep,170
2022,Oct,135
2022,Nov,45
2022,Dec,492
2023,Jan,1953
2023,Feb,173
2023,Mar,40
2023,Apr,234
2023,May,2374
2023,Jun,207
2023,Juy,19
2023,Aug,106
2023,Sep,155
2023,Oct,42
2023,Nov,340
2023,Dec,2779
2024,Jan,2095
2024,Feb,605
2024,Mar,331
2024,Apr,469
2024,May,1789
2024,Jun,1361
2024,Juy,25
2024,Aug,105
2024,Sep,315
2024,Oct,89
2024,Nov,90
2024,Dec,417
