uuid,year,high_ndmi_days
00139a5b-5011-4d2b-99c3-d3f9d4189af6,2021,5
00139a5b-5011-4d2b-99c3-d3f9d4189af6,2023,15
0017f0f5-6601-4539-81a7-77237e2b0adb,2023,5
0018753d-72ea-4b63-8e55-35e4194d4ea9,2023,10
0025297b-799d-4b0f-aef6-7286238d83df,2022,0
00262a01-2f75-4176-ad41-4c52d94f6fa0,2024,0
00838fb7-4fdb-4c7c-99e8-efd20e7d8fad,2024,0
00a28b9e-644e-4aee-8830-5c15b3faf39d,2023,5
00a28b9e-644e-4aee-8830-5c15b3faf39d,2024,340
00fcf14d-aa88-4880-a6db-ac46f670ecfe,2023,0
00fcf14d-aa88-4880-a6db-ac46f670ecfe,2024,5
0104680d-cc1a-478c-94f7-8981a552610d,2024,0
011956ab-608c-45d7-bf16-59c5a021ee56,2020,20
0182b086-1ca9-49f5-89bf-010f598244b8,2024,0
0199e53c-0499-46df-b354-467203dc4352,2023,10
0199e53c-0499-46df-b354-467203dc4352,2024,0
01ee8427-1a0d-4742-b97e-4e5a5accdbf4,2023,0
01ee8427-1a0d-4742-b97e-4e5a5accdbf4,2024,0
0220362b-fbc2-41d5-b92a-fcd9e246873f,2024,0
024ebb4b-426a-44bc-8018-724ef64de7dc,2023,5
024ebb4b-426a-44bc-8018-724ef64de7dc,2024,235
026f2768-561e-4c2e-b931-a585476e3435,2020,95
0274b03b-a031-43b1-be31-cb7048941662,2024,10
02957855-b50c-4448-8e81-1882d4ce193d,2024,0
02abb331-1f44-4ee8-a272-c2fbdd99bace,2021,0
02abb331-1f44-4ee8-a272-c2fbdd99bace,2023,10
02abb331-1f44-4ee8-a272-c2fbdd99bace,2024,355
02d86977-d817-41db-a7da-4f4a77817b03,2023,10
02d95836-3a23-4fbf-a2ac-97e4f6394a84,2020,75
02d95836-3a23-4fbf-a2ac-97e4f6394a84,2021,5
02d95836-3a23-4fbf-a2ac-97e4f6394a84,2022,0
02d95836-3a23-4fbf-a2ac-97e4f6394a84,2023,5
02d95836-3a23-4fbf-a2ac-97e4f6394a84,2024,30
02da3f52-28d4-49fc-bf08-a3c31d65db8c,2023,25
02eadc06-b49a-4c87-bc02-4f56a942abdc,2020,0
02eadc06-b49a-4c87-bc02-4f56a942abdc,2021,15
02eadc06-b49a-4c87-bc02-4f56a942abdc,2022,10
02eadc06-b49a-4c87-bc02-4f56a942abdc,2023,0
02eadc06-b49a-4c87-bc02-4f56a942abdc,2024,330
0315067e-840b-4f46-be0a-2342468c172d,2020,5
0315067e-840b-4f46-be0a-2342468c172d,2021,360
0315067e-840b-4f46-be0a-2342468c172d,2022,0
0315067e-840b-4f46-be0a-2342468c172d,2023,230
0315067e-840b-4f46-be0a-2342468c172d,2024,355
032d27a4-829b-4ba8-b41b-d0750444627f,2023,30
0345bb51-e445-4015-bda3-d61a867e79e5,2020,355
0345bb51-e445-4015-bda3-d61a867e79e5,2021,30
0345bb51-e445-4015-bda3-d61a867e79e5,2022,25
0345bb51-e445-4015-bda3-d61a867e79e5,2023,30
0345bb51-e445-4015-bda3-d61a867e79e5,2024,0
036e6cde-9d97-4cc2-ba0b-9cd81e7ab16f,2021,0
036e6cde-9d97-4cc2-ba0b-9cd81e7ab16f,2023,0
03838242-39f7-4af5-89d6-a0ebb8b8cdf6,2023,10
03838242-39f7-4af5-89d6-a0ebb8b8cdf6,2024,0
03d1ff4d-686b-4c35-920a-67e552ad6333,2021,0
03d1ff4d-686b-4c35-920a-67e552ad6333,2022,0
03d1ff4d-686b-4c35-920a-67e552ad6333,2023,15
03d1ff4d-686b-4c35-920a-67e552ad6333,2024,5
03db69ff-dcbc-4a24-ab43-7a2e650bd29b,2021,0
04288e5a-ef0a-4cd2-930e-0e825af4d811,2020,5
04288e5a-ef0a-4cd2-930e-0e825af4d811,2022,5
042f620d-0715-45ef-a5dc-c2dac618e85f,2023,50
045d97de-a63a-4e59-a727-323b258080b4,2024,0
04731950-524c-4d8a-ba4a-138494320e46,2021,335
04731950-524c-4d8a-ba4a-138494320e46,2022,0
04731950-524c-4d8a-ba4a-138494320e46,2024,5
048ddcbe-c145-4e4f-af39-ca1df6d84d92,2022,5
048ddcbe-c145-4e4f-af39-ca1df6d84d92,2024,5
049a3db9-d91f-472e-95ed-24789fc70479,2024,10
04ad12ff-f7c6-40c6-be26-222558f4475a,2021,10
04ad12ff-f7c6-40c6-be26-222558f4475a,2024,15
04c98185-8a87-4372-a61a-52f5c0dd8c82,2023,0
04fa23fe-1150-4676-bef9-9cd0d39cf549,2021,0
04fa23fe-1150-4676-bef9-9cd0d39cf549,2022,0
04feba95-a6fc-497d-8800-87facc6643e7,2022,0
04feba95-a6fc-497d-8800-87facc6643e7,2024,5
050804fe-359f-4439-8f43-baf484c50d95,2024,0
050cfa5a-7ad6-4c3f-8ff7-1be94a5d12e9,2021,0
050cfa5a-7ad6-4c3f-8ff7-1be94a5d12e9,2022,0
054095ac-1c01-4a3b-825a-4390c5114865,2020,350
054095ac-1c01-4a3b-825a-4390c5114865,2021,75
054095ac-1c01-4a3b-825a-4390c5114865,2024,0
0596bbb8-e0c0-4b5b-98ac-fd2062930116,2023,0
05a128e5-326b-45b3-8f4a-c2db3ffe91d7,2023,0
05a128e5-326b-45b3-8f4a-c2db3ffe91d7,2024,20
05a2fb37-5cf6-4bb7-981a-c55b82bceb03,2021,0
05a2fb37-5cf6-4bb7-981a-c55b82bceb03,2022,5
05a2fb37-5cf6-4bb7-981a-c55b82bceb03,2023,50
05c6e71a-7d5d-4c50-af82-a6c58278c26f,2022,10
05c6e71a-7d5d-4c50-af82-a6c58278c26f,2023,0
05c6e71a-7d5d-4c50-af82-a6c58278c26f,2024,5
06103372-c434-4c46-ab63-16424f4dd935,2022,5
06103372-c434-4c46-ab63-16424f4dd935,2023,10
