ndvi_peak_year,number_of_peaks_per_farm,uuid_count
2020,1,2562
2020,2,2236
2020,3,225
2020,4,1
2021,1,2445
2021,2,1542
2021,3,429
2021,4,9
2022,1,2065
2022,2,982
2022,3,221
2022,4,7
2023,1,2319
2023,2,1126
2023,3,404
2023,4,30
2024,1,2934
2024,2,1566
2024,3,271
2024,4,10
