uuid,year,ndvi_max,ndmi_max
00073cc1-4546-40f9-bc97-61578992bffc,2020,0.786213151927439,0.3461746031746034
00073cc1-4546-40f9-bc97-61578992bffc,2021,0.7366916099773282,0.3632222222222233
00073cc1-4546-40f9-bc97-61578992bffc,2022,0.7374875283446758,0.355892290249437
00073cc1-4546-40f9-bc97-61578992bffc,2023,0.7088707482993197,0.31294557823129293
00073cc1-4546-40f9-bc97-61578992bffc,2024,0.7040821995464848,0.39111904761904764
00091cc7-2062-4a82-a958-43ec5464efec,2020,0.6452131519274368,0.33457142857142824
00091cc7-2062-4a82-a958-43ec5464efec,2021,0.7151870748299342,0.3250181405895698
00091cc7-2062-4a82-a958-43ec5464efec,2022,0.6602358276644019,0.315984126984129
00091cc7-2062-4a82-a958-43ec5464efec,2023,0.38055933484504945,0.32868707482993226
00091cc7-2062-4a82-a958-43ec5464efec,2024,0.36078080120937395,0.1759712773998493
001b3d5f-c779-4f0a-89c4-fa7ce600e296,2020,0.7693106575963743,0.3860672713529855
001b3d5f-c779-4f0a-89c4-fa7ce600e296,2021,0.7813537414965982,0.3362607709750557
001b3d5f-c779-4f0a-89c4-fa7ce600e296,2022,0.8007573696145129,0.3690759637188214
001b3d5f-c779-4f0a-89c4-fa7ce600e296,2023,0.7005445956160244,0.37639002267573746
001b3d5f-c779-4f0a-89c4-fa7ce600e296,2024,0.6008140589569184,0.31394331065759834
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2020,0.6639195011337892,0.23339455782312954
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2021,0.7204115646258507,0.2272834467120166
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2022,0.6830453514739253,0.23241950113378698
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2023,0.6654013605442178,0.2752789115646261
0028fbce-c1e8-44b0-aa6e-bb1cf4f016a4,2024,0.8330306122449027,0.2907050264550265
0048e835-670c-4c65-a773-220951eb85fe,2020,0.4807142857142865,0.19474376417233566
0048e835-670c-4c65-a773-220951eb85fe,2021,0.4609886621315197,0.15314285714285705
0048e835-670c-4c65-a773-220951eb85fe,2022,0.4530680272108859,0.14621541950113418
0048e835-670c-4c65-a773-220951eb85fe,2023,0.5393990929705195,0.288361678004536
0048e835-670c-4c65-a773-220951eb85fe,2024,0.6506065759637167,0.23641043083900085
007eb102-af53-4a46-bc8f-9a0dba9e1f25,2020,0.6647074829931958,0.30885260770974987
007eb102-af53-4a46-bc8f-9a0dba9e1f25,2021,0.622052154195014,0.27267573696145325
007eb102-af53-4a46-bc8f-9a0dba9e1f25,2022,0.7206122448979604,0.35310204081632734
007eb102-af53-4a46-bc8f-9a0dba9e1f25,2023,0.7952636054421766,0.385407029478458
007eb102-af53-4a46-bc8f-9a0dba9e1f25,2024,0.8606397392290205,0.4562849584278157
008fd9c9-ddf7-4836-8044-6a4ea6739475,2020,0.8920839002267568,0.46513832199546484
008fd9c9-ddf7-4836-8044-6a4ea6739475,2021,0.8896371882086159,0.4503061224489788
008fd9c9-ddf7-4836-8044-6a4ea6739475,2022,0.8950612244897963,0.46811111111111103
008fd9c9-ddf7-4836-8044-6a4ea6739475,2023,0.8272970521541982,0.380705215419501
008fd9c9-ddf7-4836-8044-6a4ea6739475,2024,0.929456490929706,0.5056235827664406
0097a4ee-ec25-446b-8a60-808e64e86213,2020,0.6382471655328815,0.22977324263038632
0097a4ee-ec25-446b-8a60-808e64e86213,2021,0.5732925170068034,0.14261904761904776
0097a4ee-ec25-446b-8a60-808e64e86213,2022,0.5232335600907057,0.12134240362811903
0097a4ee-ec25-446b-8a60-808e64e86213,2023,0.6330839002267586,0.2372169312169312
0097a4ee-ec25-446b-8a60-808e64e86213,2024,0.6482925170068012,0.22357993197278964
009da00f-4adf-466d-b6d1-80ac175d3d21,2020,0.7490158730158734,0.27792743764172345
009da00f-4adf-466d-b6d1-80ac175d3d21,2021,0.6790929705215425,0.2601836734693879
009da00f-4adf-466d-b6d1-80ac175d3d21,2022,0.6582244897959175,0.23233786848072527
009da00f-4adf-466d-b6d1-80ac175d3d21,2023,0.762901360544217,0.3344977324263038
009da00f-4adf-466d-b6d1-80ac175d3d21,2024,0.8330113378684819,0.3498934240362822
009f8ae6-ecd8-4f53-a134-036253824687,2020,0.7552471655328783,0.34947089947090015
009f8ae6-ecd8-4f53-a134-036253824687,2021,0.7589092970521548,0.36255442176870883
009f8ae6-ecd8-4f53-a134-036253824687,2022,0.7498004535147427,0.3620907029478462
009f8ae6-ecd8-4f53-a134-036253824687,2023,0.6560037792894925,0.362416099773244
009f8ae6-ecd8-4f53-a134-036253824687,2024,0.5556011904761906,0.2873356009070296
00a3d9fc-450e-467b-ae12-ea7adaeb8521,2020,0.6745056689342409,0.25433106575963765
00a3d9fc-450e-467b-ae12-ea7adaeb8521,2021,0.6394036281179116,0.1873979591836751
00a3d9fc-450e-467b-ae12-ea7adaeb8521,2022,0.6741247165532882,0.21087301587301563
00a3d9fc-450e-467b-ae12-ea7adaeb8521,2023,0.7544625850340138,0.28674036281179177
00a3d9fc-450e-467b-ae12-ea7adaeb8521,2024,0.7340521541950116,0.2872760770975058
00a490f0-6f3a-48da-a302-29fb396450e8,2020,0.6182448979591826,0.2591111111111107
00a490f0-6f3a-48da-a302-29fb396450e8,2021,0.4967959183673502,0.14075963718820889
00a490f0-6f3a-48da-a302-29fb396450e8,2022,0.4163945578231318,0.12246258503401501
00a490f0-6f3a-48da-a302-29fb396450e8,2023,0.49825245653817096,0.21270937263794432
00a490f0-6f3a-48da-a302-29fb396450e8,2024,0.5021254724111881,0.21047996976568528
00c5f952-34cb-404e-9daa-829faad3951e,2020,0.7911451247165541,0.3554126984126994
00c5f952-34cb-404e-9daa-829faad3951e,2021,0.5940226757369618,0.22794104308389965
00c5f952-34cb-404e-9daa-829faad3951e,2022,0.5488072562358297,0.22018140589569232
00c5f952-34cb-404e-9daa-829faad3951e,2023,0.31539153439153367,0.07432728647014271
00c5f952-34cb-404e-9daa-829faad3951e,2024,0.47825170068027173,0.16042176870748462
00cff42e-14c9-48cf-8a73-bd5620f8f9ad,2020,0.8439977324263052,0.3181848072562353
00cff42e-14c9-48cf-8a73-bd5620f8f9ad,2021,0.9091065759637211,0.3448321995464855
00cff42e-14c9-48cf-8a73-bd5620f8f9ad,2022,0.8464021164021207,0.34217611489040173
00cff42e-14c9-48cf-8a73-bd5620f8f9ad,2023,0.8034580498866211,0.2545011337868487
00cff42e-14c9-48cf-8a73-bd5620f8f9ad,2024,0.79070068027211,0.28610260770975043
00d124c3-5b00-4c7a-a4c6-3f74593feb8b,2020,0.8555804988662118,0.4252585034013601
00d124c3-5b00-4c7a-a4c6-3f74593feb8b,2021,0.831324263038549,0.38966666666666633
00d124c3-5b00-4c7a-a4c6-3f74593feb8b,2022,0.7280952380952429,0.3587278911564655
00d124c3-5b00-4c7a-a4c6-3f74593feb8b,2023,0.749143613000754,0.3532558578987143
00d124c3-5b00-4c7a-a4c6-3f74593feb8b,2024,0.8595617913832189,0.3924472789115602
00dcdd19-1913-46b1-90cd-3b9e0335535d,2020,0.5907414965986403,0.22165306122449013
00dcdd19-1913-46b1-90cd-3b9e0335535d,2021,0.6165022675736985,0.1851088435374161
00dcdd19-1913-46b1-90cd-3b9e0335535d,2022,0.370784580498868,0.10575736961451267
00dcdd19-1913-46b1-90cd-3b9e0335535d,2023,0.637090702947846,0.17825056689342444
00dcdd19-1913-46b1-90cd-3b9e0335535d,2024,0.6528378684807273,0.26280839002267575
00e24941-0abd-48e7-bc06-2ad44ccb4234,2020,0.6964070294784587,0.2504557823129249
00e24941-0abd-48e7-bc06-2ad44ccb4234,2021,0.7029943310657593,0.2504508692365824
