uuid,ndvi_peak_date,ndvi_peak_value,peak_position
0006aacd-1f14-42d2-9124-4306cdd304e1,2020-07-02,0.7906266061980348,1
0006aacd-1f14-42d2-9124-4306cdd304e1,2021-05-28,0.731275510204083,1
0006aacd-1f14-42d2-9124-4306cdd304e1,2021-09-30,0.7781303854875301,2
0006aacd-1f14-42d2-9124-4306cdd304e1,2022-09-25,0.7160975056689359,1
0006aacd-1f14-42d2-9124-4306cdd304e1,2023-05-13,0.706961451247167,1
0006aacd-1f14-42d2-9124-4306cdd304e1,2023-08-11,0.4824274376417241,2
0006aacd-1f14-42d2-9124-4306cdd304e1,2023-11-19,0.6330034013605447,3
0006aacd-1f14-42d2-9124-4306cdd304e1,2024-05-17,0.7788639455782324,1
000e2aac-99c7-45c0-8ff4-c1871260757f,2020-07-27,0.6912335600907038,1
000e2aac-99c7-45c0-8ff4-c1871260757f,2021-08-21,0.7250944822373399,1
000e2aac-99c7-45c0-8ff4-c1871260757f,2022-12-04,0.5107675736961453,1
000e2aac-99c7-45c0-8ff4-c1871260757f,2023-12-14,0.5050236205593359,1
000e2aac-99c7-45c0-8ff4-c1871260757f,2024-07-11,0.7254319727891169,1
0024b868-5b80-42f9-ba06-7993cc5c0d88,2020-06-30,0.6801519274376435,1
0024b868-5b80-42f9-ba06-7993cc5c0d88,2021-07-05,0.599394506287363,1
0024b868-5b80-42f9-ba06-7993cc5c0d88,2022-08-29,0.5786690843269798,1
0024b868-5b80-42f9-ba06-7993cc5c0d88,2023-12-17,0.6167734693877557,1
002bb426-f117-4088-b82e-f9422e2b6d13,2020-04-28,0.4730430839002278,1
002bb426-f117-4088-b82e-f9422e2b6d13,2020-08-31,0.6871043083900241,2
002bb426-f117-4088-b82e-f9422e2b6d13,2021-05-28,0.6898095238095248,1
002bb426-f117-4088-b82e-f9422e2b6d13,2021-10-15,0.6888594104308403,2
002bb426-f117-4088-b82e-f9422e2b6d13,2022-07-17,0.6605328798185957,1
002bb426-f117-4088-b82e-f9422e2b6d13,2023-05-23,0.6860907029478456,1
002bb426-f117-4088-b82e-f9422e2b6d13,2023-09-30,0.4710861678004543,2
002bb426-f117-4088-b82e-f9422e2b6d13,2024-04-12,0.5905614134542707,1
002bb426-f117-4088-b82e-f9422e2b6d13,2024-10-19,0.6879886621315193,2
004466c9-09fd-40c6-ad5e-d24df9f3e34a,2020-05-18,0.7095736961451259,1
004466c9-09fd-40c6-ad5e-d24df9f3e34a,2020-12-04,0.5144557823129255,2
004466c9-09fd-40c6-ad5e-d24df9f3e34a,2021-05-23,0.5582879818594113,1
004466c9-09fd-40c6-ad5e-d24df9f3e34a,2021-10-15,0.6780702947845811,2
004466c9-09fd-40c6-ad5e-d24df9f3e34a,2022-09-30,0.7411791383219961,1
004466c9-09fd-40c6-ad5e-d24df9f3e34a,2023-04-28,0.5049841269841289,1
004466c9-09fd-40c6-ad5e-d24df9f3e34a,2024-01-28,0.5032411186696913,1
004466c9-09fd-40c6-ad5e-d24df9f3e34a,2024-05-07,0.7471133786848079,2
0047f73f-3348-4916-b3a7-c395543f038e,2020-05-13,0.5559659863945569,1
0047f73f-3348-4916-b3a7-c395543f038e,2021-05-28,0.5361405895691619,1
0047f73f-3348-4916-b3a7-c395543f038e,2022-09-20,0.48810204081632724,1
0047f73f-3348-4916-b3a7-c395543f038e,2023-05-13,0.5750793650793644,1
0047f73f-3348-4916-b3a7-c395543f038e,2024-01-13,0.5833393801965242,1
0047f73f-3348-4916-b3a7-c395543f038e,2024-05-27,0.5621893424036275,2
005737e1-77a1-4e7e-a369-050087ffb7e7,2020-05-03,0.6583934240362811,1
005737e1-77a1-4e7e-a369-050087ffb7e7,2020-11-29,0.7037108843537409,2
005737e1-77a1-4e7e-a369-050087ffb7e7,2021-05-28,0.6549092970521552,1
005737e1-77a1-4e7e-a369-050087ffb7e7,2022-10-25,0.44154799697656893,1
005737e1-77a1-4e7e-a369-050087ffb7e7,2023-07-02,0.6548004535147398,1
005737e1-77a1-4e7e-a369-050087ffb7e7,2023-12-14,0.6405672713529829,2
005737e1-77a1-4e7e-a369-050087ffb7e7,2024-06-16,0.6556167800453525,1
005737e1-77a1-4e7e-a369-050087ffb7e7,2024-09-14,0.4685340136054433,2
005737e1-77a1-4e7e-a369-050087ffb7e7,2024-12-18,0.5993939909297064,3
006129b7-c18c-4170-999f-228f26cd2c07,2020-02-13,0.5937936507936515,1
006129b7-c18c-4170-999f-228f26cd2c07,2020-05-23,0.6844104308390022,2
006129b7-c18c-4170-999f-228f26cd2c07,2021-09-30,0.5425510204081642,1
006129b7-c18c-4170-999f-228f26cd2c07,2022-10-05,0.5541337868480735,1
006129b7-c18c-4170-999f-228f26cd2c07,2023-06-27,0.48406349206349275,1
006129b7-c18c-4170-999f-228f26cd2c07,2023-12-09,0.6707152935248191,2
006129b7-c18c-4170-999f-228f26cd2c07,2024-07-26,0.673321995464853,1
00666f7a-c396-4729-b607-96a5991916ee,2020-06-02,0.5713321995464855,1
00666f7a-c396-4729-b607-96a5991916ee,2020-11-04,0.5791746031746041,2
00666f7a-c396-4729-b607-96a5991916ee,2021-07-07,0.681995464852609,1
00666f7a-c396-4729-b607-96a5991916ee,2022-09-25,0.6501065759637198,1
00666f7a-c396-4729-b607-96a5991916ee,2023-02-12,0.4514693877551027,1
00666f7a-c396-4729-b607-96a5991916ee,2023-07-02,0.6483083900226763,2
00666f7a-c396-4729-b607-96a5991916ee,2023-12-09,0.6898488284202576,3
00666f7a-c396-4729-b607-96a5991916ee,2024-05-22,0.6688049886621317,1
00693d25-670c-418a-ad82-f35644bddf33,2020-04-08,0.515785147392291,1
00693d25-670c-418a-ad82-f35644bddf33,2020-07-22,0.7702857142857163,2
00693d25-670c-418a-ad82-f35644bddf33,2020-11-29,0.6137603930461091,3
00693d25-670c-418a-ad82-f35644bddf33,2021-08-16,0.7305396825396832,1
00693d25-670c-418a-ad82-f35644bddf33,2022-09-30,0.7538219954648523,1
00693d25-670c-418a-ad82-f35644bddf33,2022-12-29,0.4113478835978851,2
00693d25-670c-418a-ad82-f35644bddf33,2023-07-27,0.6969727891156475,1
00693d25-670c-418a-ad82-f35644bddf33,2024-02-07,0.6780948601662911,1
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2020-05-18,0.6914920634920626,1
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2020-11-29,0.711764172335601,2
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2021-06-02,0.7045283446712013,1
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2021-08-21,0.6802241118669698,2
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2022-01-08,0.6272777777777784,1
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2022-12-09,0.5243894557823136,2
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2023-08-01,0.6026961451247176,1
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2024-02-17,0.6494036281179149,1
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2024-06-16,0.6927692743764183,2
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2024-11-28,0.6405531620055442,3
006c790c-ceb5-46cf-9643-6a95dc369242,2020-09-05,0.7859924414210142,1
006c790c-ceb5-46cf-9643-6a95dc369242,2020-11-29,0.7704058956916111,2
006c790c-ceb5-46cf-9643-6a95dc369242,2021-02-27,0.5361836734693886,1
006c790c-ceb5-46cf-9643-6a95dc369242,2021-09-15,0.6150385487528354,2
006c790c-ceb5-46cf-9643-6a95dc369242,2023-07-22,0.6753877551020419,1
006c790c-ceb5-46cf-9643-6a95dc369242,2023-12-14,0.7819198790627366,2
006c790c-ceb5-46cf-9643-6a95dc369242,2024-06-01,0.7382380952380964,1
0074af63-8350-49d7-9b77-9b06998dda9c,2020-05-23,0.6141632653061226,1
0074af63-8350-49d7-9b77-9b06998dda9c,2020-09-10,0.6214092970521551,2
0074af63-8350-49d7-9b77-9b06998dda9c,2021-05-28,0.5535396825396834,1
0074af63-8350-49d7-9b77-9b06998dda9c,2022-09-20,0.4632380952380959,1
0074af63-8350-49d7-9b77-9b06998dda9c,2023-05-13,0.642917233560088,1
0074af63-8350-49d7-9b77-9b06998dda9c,2023-12-14,0.6577876039304607,2
0074af63-8350-49d7-9b77-9b06998dda9c,2024-06-11,0.6942426303854883,1
00960040-02bf-4df6-9665-542edb3eebe9,2020-11-14,0.6180941043083912,1
00960040-02bf-4df6-9665-542edb3eebe9,2021-09-05,0.4855555555555564,1
