uuid,year,ndvi_max,ndmi_max
0006aacd-1f14-42d2-9124-4306cdd304e1,2020,0.7906266061980348,0.2966643990929716
0006aacd-1f14-42d2-9124-4306cdd304e1,2021,0.7781303854875301,0.28306122448979715
0006aacd-1f14-42d2-9124-4306cdd304e1,2022,0.7160975056689359,0.2680249433106574
0006aacd-1f14-42d2-9124-4306cdd304e1,2023,0.706961451247167,0.17204308390022666
0006aacd-1f14-42d2-9124-4306cdd304e1,2024,0.7788639455782324,0.3049886621315193
000e2aac-99c7-45c0-8ff4-c1871260757f,2020,0.6912335600907038,0.2184359410430847
000e2aac-99c7-45c0-8ff4-c1871260757f,2021,0.7250944822373399,0.21604308390022697
000e2aac-99c7-45c0-8ff4-c1871260757f,2022,0.5107675736961453,0.10711356764928191
000e2aac-99c7-45c0-8ff4-c1871260757f,2023,0.5050236205593359,0.028324074074075327
000e2aac-99c7-45c0-8ff4-c1871260757f,2024,0.7254319727891169,0.23774149659863997
0024b868-5b80-42f9-ba06-7993cc5c0d88,2020,0.6801519274376435,0.2361713151927447
0024b868-5b80-42f9-ba06-7993cc5c0d88,2021,0.599394506287363,0.11206251288394294
0024b868-5b80-42f9-ba06-7993cc5c0d88,2022,0.5786690843269798,0.04192168371867614
0024b868-5b80-42f9-ba06-7993cc5c0d88,2023,0.6167734693877557,0.12210206003305192
0024b868-5b80-42f9-ba06-7993cc5c0d88,2024,0.6415607385811465,0.1980886135406556
002bb426-f117-4088-b82e-f9422e2b6d13,2020,0.6871043083900241,0.23246258503401332
002bb426-f117-4088-b82e-f9422e2b6d13,2021,0.6898095238095248,0.19864852607709718
002bb426-f117-4088-b82e-f9422e2b6d13,2022,0.6605328798185957,0.20525170068027263
002bb426-f117-4088-b82e-f9422e2b6d13,2023,0.6860907029478456,0.2507029478458048
002bb426-f117-4088-b82e-f9422e2b6d13,2024,0.6879886621315193,0.23253741496598768
004466c9-09fd-40c6-ad5e-d24df9f3e34a,2020,0.7095736961451259,0.178547335600907
004466c9-09fd-40c6-ad5e-d24df9f3e34a,2021,0.6780702947845811,0.15880272108843568
004466c9-09fd-40c6-ad5e-d24df9f3e34a,2022,0.7411791383219961,0.1459750566893405
004466c9-09fd-40c6-ad5e-d24df9f3e34a,2023,0.5049841269841289,0.04036961451247219
004466c9-09fd-40c6-ad5e-d24df9f3e34a,2024,0.7471133786848079,0.16790249433106672
0047f73f-3348-4916-b3a7-c395543f038e,2020,0.5559659863945569,0.08386394557823104
0047f73f-3348-4916-b3a7-c395543f038e,2021,0.5361405895691619,-0.02812018140589632
0047f73f-3348-4916-b3a7-c395543f038e,2022,0.48810204081632724,-0.03952607709750547
0047f73f-3348-4916-b3a7-c395543f038e,2023,0.5786797052154199,0.09624565381708254
0047f73f-3348-4916-b3a7-c395543f038e,2024,0.5833393801965242,0.0721216931216938
005737e1-77a1-4e7e-a369-050087ffb7e7,2020,0.7037108843537409,0.24548412698413052
005737e1-77a1-4e7e-a369-050087ffb7e7,2021,0.6549092970521552,0.12291383219954644
005737e1-77a1-4e7e-a369-050087ffb7e7,2022,0.44154799697656893,-0.017685563114134994
005737e1-77a1-4e7e-a369-050087ffb7e7,2023,0.6548004535147398,0.21773204837490834
005737e1-77a1-4e7e-a369-050087ffb7e7,2024,0.6556167800453525,0.23787414965986142
006129b7-c18c-4170-999f-228f26cd2c07,2020,0.6844104308390022,0.23069387755102128
006129b7-c18c-4170-999f-228f26cd2c07,2021,0.5425510204081642,0.03835147392290252
006129b7-c18c-4170-999f-228f26cd2c07,2022,0.5541337868480735,0.05368707482993177
006129b7-c18c-4170-999f-228f26cd2c07,2023,0.6707152935248191,0.19486696900982664
006129b7-c18c-4170-999f-228f26cd2c07,2024,0.673321995464853,0.2233401360544214
00666f7a-c396-4729-b607-96a5991916ee,2020,0.5791746031746041,0.06822335600907124
00666f7a-c396-4729-b607-96a5991916ee,2021,0.681995464852609,0.20650113378684892
00666f7a-c396-4729-b607-96a5991916ee,2022,0.6501065759637198,0.14021315192743744
00666f7a-c396-4729-b607-96a5991916ee,2023,0.6898488284202576,0.21441496598639498
00666f7a-c396-4729-b607-96a5991916ee,2024,0.6688049886621317,0.20928571428571563
00693d25-670c-418a-ad82-f35644bddf33,2020,0.7702857142857163,0.30709580498866157
00693d25-670c-418a-ad82-f35644bddf33,2021,0.7305396825396832,0.26435487528344725
00693d25-670c-418a-ad82-f35644bddf33,2022,0.7538219954648523,0.30343083900226864
00693d25-670c-418a-ad82-f35644bddf33,2023,0.6969727891156475,0.22213265306122396
00693d25-670c-418a-ad82-f35644bddf33,2024,0.7540888133031002,0.3135011337868485
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2020,0.711764172335601,0.2326878306878323
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2021,0.7045283446712013,0.215120181405897
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2022,0.6272777777777784,0.06409637188208628
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2023,0.6445891912320496,0.22937738905085836
006b3650-bd23-4dd1-9953-8ab583bdbcc7,2024,0.6927692743764183,0.22039795918367394
006c790c-ceb5-46cf-9643-6a95dc369242,2020,0.7859924414210142,0.29731632653061235
006c790c-ceb5-46cf-9643-6a95dc369242,2021,0.6150385487528354,0.08809750566893457
006c790c-ceb5-46cf-9643-6a95dc369242,2022,0.3859739229024946,-0.11827777777777772
006c790c-ceb5-46cf-9643-6a95dc369242,2023,0.7819198790627366,0.30132728647014717
006c790c-ceb5-46cf-9643-6a95dc369242,2024,0.7382380952380964,0.2259478458049882
0074af63-8350-49d7-9b77-9b06998dda9c,2020,0.6214092970521551,0.1498407029478457
0074af63-8350-49d7-9b77-9b06998dda9c,2021,0.5535396825396834,-0.005204081632652844
0074af63-8350-49d7-9b77-9b06998dda9c,2022,0.4632380952380959,-0.08380347694633447
0074af63-8350-49d7-9b77-9b06998dda9c,2023,0.6577876039304607,0.1438571428571448
0074af63-8350-49d7-9b77-9b06998dda9c,2024,0.6942426303854883,0.14820861678004627
00960040-02bf-4df6-9665-542edb3eebe9,2020,0.6180941043083912,0.13504988662131562
00960040-02bf-4df6-9665-542edb3eebe9,2021,0.4855555555555564,0.009891156462584953
00960040-02bf-4df6-9665-542edb3eebe9,2022,0.5038730158730166,0.0023367346938774304
00960040-02bf-4df6-9665-542edb3eebe9,2023,0.6418208616780053,0.12220842781557052
00960040-02bf-4df6-9665-542edb3eebe9,2024,0.5585192743764181,0.06479213907785347
00aa30e8-a4ed-43f5-9f11-4aa56fd54505,2020,0.7018367346938776,0.15216553287981932
00aa30e8-a4ed-43f5-9f11-4aa56fd54505,2021,0.45390022675737013,-0.0345385487528341
00aa30e8-a4ed-43f5-9f11-4aa56fd54505,2022,0.4837573696145132,-0.04331972789115614
00aa30e8-a4ed-43f5-9f11-4aa56fd54505,2023,0.44928253968254084,0.15444671201814053
00aa30e8-a4ed-43f5-9f11-4aa56fd54505,2024,0.6818945578231291,0.1485026455026467
00ab2a6e-044c-491f-bddb-7374904d7655,2020,0.7219251700680289,0.18495918367347003
00ab2a6e-044c-491f-bddb-7374904d7655,2021,0.5092607709750573,0.06287074829932085
00ab2a6e-044c-491f-bddb-7374904d7655,2022,0.5159761904761914,0.025263038548752708
00ab2a6e-044c-491f-bddb-7374904d7655,2023,0.6136349206349205,0.1328412698412691
00ab2a6e-044c-491f-bddb-7374904d7655,2024,0.7334406651549503,0.23159183673469386
